,Unnamed: 0,nombre articulo,precio,link,company,model,year,version,color,fuel,doors,transmisions,motor,bodywork
572,572,Fiat Pulse 1.3 Drive Gse Cvt,3916.4490861618797,https://auto.mercadolibre.com.ar/MLA-1299636729-fiat-pulse-entrega-inmediata-o-financiada-tomo-permutas-p-_JM#position=41&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Fiat,Pulse,2022,1.3 Drive Gse Cvt,Blanco,Nafta,5,Automática,1.3,SUV
573,573,Fiat Toro 1.8 Freedom,16187.98955613577,https://auto.mercadolibre.com.ar/MLA-1299906015-fiat-toro-2023-0km-financiada-de-contado-tomo-permuta-2012-p-_JM#position=42&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Fiat,Toro,2022,1.8 Freedom,Negro,Nafta,4,Automática,1.8,Pick-Up
574,574,Fiat Cronos 1.3 Gse Drive Pack Conectividad,10313.31592689295,https://auto.mercadolibre.com.ar/MLA-1299597444-fiat-cronos-2023-0km-contado-o-financiado-tomo-permutas-p-_JM#position=43&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Fiat,Cronos,2022,1.3 Gse Drive Pack Conectividad,Blanco,Nafta,4,Manual,1.3,Sedán
575,575,Renault Kangoo Ii Express Confort 1.6 Sce,11859.007832898173,https://auto.mercadolibre.com.ar/MLA-1299982194-renault-kangoo-express-furgon-2-asientos-16-16v-2023-d-_JM#position=44&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Renault,Kangoo,2022,Ii Express Confort 1.6 Sce,Plateado,Nafta,3,Manual,1.6,Furgón
576,576,Fiat Pulse 1.3 Drive Gse Cvt,12271.54046997389,https://auto.mercadolibre.com.ar/MLA-1299603484-fiat-pulse-0km-contado-o-financiado-tomo-permuta-2010-2011-p-_JM#position=45&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Fiat,Pulse,2022,1.3 Drive Gse Cvt,Plateado,Nafta,5,Automática,1.3,SUV
577,577,Audi Q3 Sportback 2.0 40tfsi Quattro Sportback 220cv,,https://auto.mercadolibre.com.ar/MLA-1299680077-audi-q3-sportback-20t-14t-quattro-4x4-coupe-2021-2022-0km-_JM#position=46&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Audi,Q3 Sportback,2021,2.0 40tfsi Quattro Sportback 220cv,Blanco,Nafta,5,Automática,2.0,SUV
578,578,Jeep Commander Limited Td T380,54281.984334203655,https://auto.mercadolibre.com.ar/MLA-1299596186-jeep-commander-limited-4x4-td-my23-entrega-ya-conc-oficial-_JM#position=47&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Jeep,Commander,2023,Limited TD T380,Blanco,Diésel,5,Automática,,SUV
579,579,Peugeot 208 1.6l Allure,12878.067885117494,https://auto.mercadolibre.com.ar/MLA-1299460669-208-allure-_JM#position=48&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Peugeot,208,2022,1.6l Allure,Blanco,Nafta,5,Manual,1.6,Hatchback
580,580,Renault Kangoo Ii Express Confort 5a 1.6 Sce,11798.955613577024,https://auto.mercadolibre.com.ar/MLA-1299664289-renault-kangoo-confort-5-asientos-16-16v-cadenero-2023-d-_JM#position=1&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Renault,Kangoo,2022,Ii Express Confort 5a 1.6 Sce,Blanco,Nafta,3,Manual,1.6,Furgón
581,581,Jeep Compass 1.3 T270 Limited,44279.37336814621,https://auto.mercadolibre.com.ar/MLA-1299632169-jeep-compass-2023-h-_JM#position=2&search_layout=grid&type=item&tracking_id=0efe2d2f-73b8-48a4-aae0-89d3786bbe76,Jeep,Compass,2022,1.3 T270 Limited,Negro,Nafta,5,Automática,1.3,SUV
