,nombre articulo,precio,link,company,model,year,version,color,fuel,doors,transmisions,motor,bodywork,km
1683,Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,$11.100.000,https://auto.mercadolibre.com.ar/MLA-1289292022-toyota-hilux-srx-4x4-at-28-2020-79000-km-rec-_JM#position=4&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Toyota,Hilux,2020,2.8 Cd Srx 177cv 4x4 At,Plateado,Diésel,4,Automática,2.8,Pick-Up,79000 km
1684,Toyota Hilux 2.8 Cd Srv 177cv 4x4 At,$14.950.000,https://auto.mercadolibre.com.ar/MLA-1288654815-toyota-hilux-srv-4x4-automatica-cero-metro--_JM#position=5&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Toyota,Hilux,2022,2.8 Cd Srv 177cv 4x4 At,Blanco,Diésel,4,Automática,2.8,Pick-Up,1999 km
1685,Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,$3.300.000,https://auto.mercadolibre.com.ar/MLA-1288239412-ford-fiesta-titanium-pv-_JM#position=6&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Ford,Fiesta Kinetic Design,2014,1.6 Design 120cv Titanium,Plateado,Nafta,5,Manual,1.6,Hatchback,116000 km
1686,Peugeot 2008 1.6 Allure,U$S13.000,https://auto.mercadolibre.com.ar/MLA-1288654780-peugeot-2008-16-allure-2017-_JM#position=7&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Peugeot,2008,2017,1.6 Allure,Negro,Nafta,5,Manual,1.6,SUV,42000 km
1687,Mitsubishi L200 2.4 Di-d High Power 181cv Cuero,$9.500.000,https://auto.mercadolibre.com.ar/MLA-1287045687-mitsubishi-l200-2019-24-di-d-high-power-181cv-cuero-_JM#position=8&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Mitsubishi,L200,2019,2.4 Di-d High Power 181cv Cuero,Diésel,4,Automática,2.4,Pick-Up,29000 km,.
1688,Volkswagen Up! 1.0 Take Up! Aa 75cv,$2.790.000,https://auto.mercadolibre.com.ar/MLA-1287057298-volkswagen-up-2017-10-take-up-aa-75cv-_JM#position=9&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Volkswagen,Up!,2017,1.0 Take Up! Aa 75cv,Gris,Nafta,3,Manual,1.0,Hatchback,75000 km
1689,Honda Civic 1.8 Exs At 140cv,$3.600.000,https://auto.mercadolibre.com.ar/MLA-1287055772-honda-civic-2013-18-exs-at-140cv-_JM#position=10&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Honda,Civic,2013,1.8 Exs At 140cv,Gris,Nafta,4,Automática,1.8,Sedán,160000 km
1690,Dodge Ram 5.9 2500 Laramie Quadcab 4x4 Atx,U$S26.000,https://auto.mercadolibre.com.ar/MLA-1286512481-dodge-ram-2007-59-2500-laramie-quadcab-4x4-atx-_JM#position=11&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Dodge,Ram,2007,5.9 2500 Laramie Quadcab 4x4 Atx,Diésel,5,Automática,5.9,Pick-Up,202000 km,.
1691,Bmw Serie 1 2.5 125i Coupe I Active,U$S22.000,https://auto.mercadolibre.com.ar/MLA-1286754100-bmw-125i-_JM#position=12&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,BMW,Serie 1,2009,2.5 125i Coupe I Active,Negro,Nafta,2,Manual,2.5,Coupé,70000 km
1692,Bmw Serie 3 325i Automatico,U$S15.500,https://auto.mercadolibre.com.ar/MLA-1286553033-bmw-325i-serie-3-325-automatico-2010-_JM#position=13&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,BMW,Serie 3,2010,325I AUTOMATICO,Gris,Nafta,4,Automática,2.5,Sedán,100000 km
1693,Fiat Grand Siena 1.4 Attractive 87cv,$2.585.000,https://auto.mercadolibre.com.ar/MLA-1286405244-fiat-grand-siena-attractive-14-8v-4p-_JM#position=14&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Fiat,Grand Siena,2013,1.4 Attractive 87cv,Rojo,Nafta,4,Manual,1.4,Sedán,126000 km
1694,Toyota Hilux 2.4 Cd Dx 150cv 4x4,$7.790.000,https://auto.mercadolibre.com.ar/MLA-1285574274-hilux-24-cd-dx-150cv-4x4-_JM#position=15&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Toyota,Hilux,2019,2.4 Cd Dx 150cv 4x4,Blanco,Diésel,4,Manual,2.4,Pick-Up,124000 km
1695,Audi Tt 1.8 T Fsi,U$S22.990,https://auto.mercadolibre.com.ar/MLA-1285870873-audi-tt-2011-18-tfsi-abasto-motors-_JM#position=16&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Audi,TT,2011,1.8 T Fsi,Blanco,Nafta,2,Manual,1.8,Coupé,85000 km
1696,Citroën C3 1.5 Tendance Pack Secure I 90cv,$2.700.000,https://auto.mercadolibre.com.ar/MLA-1284748861-citron-c3-2013-15-tendance-pack-secure-i-90cv-_JM#position=17&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Citroën,C3,2013,1.5 Tendance Pack Secure I 90cv,Nafta,5,Manual,1.5,Hatchback,85000 km,.
1697,Fiat Palio 1.4 Fire Pack Seg. Top,$2.418.000,https://auto.mercadolibre.com.ar/MLA-1284747439-fiat-palio-14-fire-top-seguridad-2015-_JM#position=18&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Fiat,Palio,2015,1.4 Fire Pack Seg. Top,Blanco,Nafta,5,Manual,1.4,Hatchback,139039 km
1698,Volkswagen Vento 2.0 Sportline Tsi 200cv Dsg,U$S17.000,https://auto.mercadolibre.com.ar/MLA-1291070352-volkswagen-vento-20-tsi-_JM#position=19&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Volkswagen,Vento,2013,2.0 Sportline Tsi 200cv Dsg,Marrón,Nafta,4,Automática,2.0,Sedán,100000 km
1699,Bmw X3 30i Xdrive,U$S72.000,https://auto.mercadolibre.com.ar/MLA-1283578278-bmw-x3-30i-xdrive-_JM#position=20&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,BMW,X3,2019,30i Xdrive,Azul,Nafta,5,Automática,2.0,SUV,85000 km
1700,Toyota Sw4 3.0 I Srv C/cuero 4x4 (2009),U$S24.500,https://auto.mercadolibre.com.ar/MLA-1283232625-toyota-sw4-2010-30-i-srv-ccuero-4x4-mt-_JM#position=21&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Toyota,SW4,2010,3.0 I Srv C/cuero 4x4 (2009),Gris,Diésel,5,Manual,3.0,SUV,228000 km
1701,Mini Cooper S 2.0 F55 Chili 192cv,U$S35.500,https://auto.mercadolibre.com.ar/MLA-1282709547-mini-cooper-s-20-f55-chili-192cv-_JM#position=22&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Mini,Cooper S,2015,2.0 F55 Chili 192cv,Gris,Nafta,5,Manual,2.0,Hatchback,50000 km
1702,Toyota Sw4 2.8 Srx 177cv 4x4 7as At,$16.500.000,https://auto.mercadolibre.com.ar/MLA-1282688529-toyota-sw4-srx-28-4x4-at-_JM#position=23&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Toyota,SW4,2019,2.8 Srx 177cv 4x4 7as At,Gris,Diésel,5,Automática,2.8,SUV,22000 km
1703,Toyota Sw4 2.8 Srx 177cv 4x4 7as At,U$S59.900,https://auto.mercadolibre.com.ar/MLA-1282385316-toyota-sw4-2022-28-srx-177cv-4x4-7as-at-_JM#position=24&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Toyota,SW4,2022,2.8 Srx 177cv 4x4 7as At,Gris,Diésel,5,Automática,2.8,SUV,1200 km
1704,Toyota Sw4 2.8 Srx 177cv 4x4 7as At,U$S48.800,https://auto.mercadolibre.com.ar/MLA-1282398200-toyota-sw4-tdi-srx-at-2018-_JM#position=25&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Toyota,SW4,2018,2.8 Srx 177cv 4x4 7as At,Negro,Diésel,5,Automática,2.8,SUV,61747 km
1705,Citroën C3 1.4 I Sx Facelift,$1.800.000,https://auto.mercadolibre.com.ar/MLA-1282490149-citroen-c3-14-sx-con-gnc-ano-2008-_JM#position=26&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Citroën,C3,2008,1.4 I Sx Facelift,Plateado,Nafta,5,Manual,1.4,Hatchback,80000 km
1706,Chevrolet Trailblazer 2.8 Nueva Ltz Tdci 200cv,$9.800.000,https://auto.mercadolibre.com.ar/MLA-1281960389-chevrolet-trailblazer-28-ltz-at-7-asientos-ano-2017-_JM#position=27&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Chevrolet,Trailblazer,2017,2.8 Nueva Ltz Tdci 200cv,Marrón,Diésel,5,Automática,2.8,SUV,160000 km
1707,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline Pack,U$S29.000,https://auto.mercadolibre.com.ar/MLA-1281933343-volkswagen-amarok-2018-20-cd-tdi-180cv-4x4-highline-pack-_JM#position=28&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Volkswagen,Amarok,2018,2.0 Cd Tdi 180cv 4x4 Highline Pack,Gris,Diésel,4,Manual,2.0,Pick-Up,54000 km
1708,Peugeot 308 1.6 Feline Thp 163cv Tiptronic,U$S14.379,https://auto.mercadolibre.com.ar/MLA-1281932397-peugeot-308-2017-16-feline-thp-163cv-tiptronic-_JM#position=29&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Peugeot,308,2017,1.6 Feline Thp 163cv Tiptronic,Blanco,Nafta,5,Automática,1.6,Hatchback,75000 km
1709,Ford Fiesta Kinetic Design 1.6 Sedan Titanium Powershift 120cv,$3.380.000,https://auto.mercadolibre.com.ar/MLA-1281647598-ford-fiesta-titanium-_JM#position=30&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Ford,Fiesta Kinetic Design,2014,1.6 Sedan Titanium Powershift 120cv,Gris,Nafta,4,Automática,1.6,Sedán,110000 km
1710,Peugeot 208 1.6l Active Tiptronic,U$S15.500,https://auto.mercadolibre.com.ar/MLA-1281089360-peugeot-208-2022-16l-active-tiptronic-automatico-nuevo-208-_JM#position=31&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Peugeot,208,2022,1.6l Active Tiptronic,Plateado,Nafta,5,Automática,1.6,Hatchback,5100 km
1711,Chevrolet Agile 1.4 Ls Aa+da+mp3,$2.100.000,https://auto.mercadolibre.com.ar/MLA-1281027984-chevrolet-agile-2011-lt-14-c-gnc-_JM#position=32&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Chevrolet,Agile,2011,1.4 Ls Aa+da+mp3,Blanco,Nafta,5,Manual,1.4,Hatchback,145000 km
1712,Bmw X5 4.8 Is Premium Stept,U$S23.000,https://auto.mercadolibre.com.ar/MLA-1280807750-bmw-x5-48i-premium-steptronic-2007-_JM#position=33&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,BMW,X5,2007,4.8 Is Premium Stept,Gris,Nafta,5,Automática,4.8,SUV,150016 km
1713,Fiat Toro 2.0 Ranch 4x4 At,$8.600.000,https://auto.mercadolibre.com.ar/MLA-1280262082-fiat-toro-ranch-20-4wd-at-2020-54000-km-do-_JM#position=34&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Fiat,Toro,2020,2.0 Ranch 4x4 At,Negro,Diésel,4,Automática,2.0,Pick-Up,54000 km
1714,Peugeot 308 2.0 Feline 143cv Tiptronic,$3.335.000,https://auto.mercadolibre.com.ar/MLA-1280236390-peugeot-308-2012-20-feline-143cv-tiptronic-_JM#position=35&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Peugeot,308,2012,2.0 Feline 143cv Tiptronic,Blanco,Nafta,5,Automática,2.0,Hatchback,90000 km
1715,Audi Q5 2.0 Tfsi Tiptronic Quattro 225cv,U$S35.900,https://auto.mercadolibre.com.ar/MLA-1280235554-audi-q5-quattro-autopremier-_JM#position=36&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Audi,Q5,2017,2.0 Tfsi Tiptronic Quattro 225cv,Negro,Nafta,5,Automática,2.0,SUV,125000 km
1716,Peugeot Partner Patagónica 1.6 Hdi Vtc Plus,$5.090.000,https://auto.mercadolibre.com.ar/MLA-1279872970-peugeot-partner-patagonica-16-hdi-vtc-plus-berlingo-furgon-_JM#position=37&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Peugeot,Partner Patagónica,2016,1.6 Hdi Vtc Plus,Gris,Diésel,4,Manual,1.6,Monovolumen,58000 km
1717,Volkswagen Amarok 3.0 V6,U$S38.000,https://auto.mercadolibre.com.ar/MLA-1278535537-volkswagen-amarok-v6-highline-_JM#position=38&search_layout=grid&type=item&tracking_id=d5e18626-397f-4089-a274-006a862192c3,Volkswagen,Amarok,2018,3.0 V6,Gris,Diésel,4,Automática,3.0,Pick-Up,67000 km
