,company,model,year,fuel,doors,transmisions,motor,bodywork
702,Peugeot,208,2023,Nafta,5,Manual,1.6,Hatchback
703,Peugeot,208,2023,Nafta,5,Automática,1.6,Hatchback
704,RAM,1500,2022,Nafta,4,Automática,5.7,Pick-Up
705,Nissan,Frontier,2023,Diésel,4,Automática,2.3,Pick-Up
706,Nissan,Frontier,2023,Diésel,4,Automática,2.3,Pick-Up
707,Renault,Logan,2022,Nafta,4,Manual,1.6,Sedán
708,Volkswagen,Amarok,2022,Diésel,4,Automática,3.0,Pick-Up
709,Renault,Captur,2021,Nafta,5,Automática,1.6,SUV
710,Volkswagen,Amarok,2023,Diésel,4,Automática,3.0,Pick-Up
712,Fiat,Strada,2022,Nafta,3,Manual,1.4,Pick-Up
713,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
714,Peugeot,5008,2022,Diésel,5,Automática,2.0,Monovolumen
715,Citroën,C3,2022,Nafta,5,Manual,1.6,Hatchback
716,Jeep,Renegade,2022,Nafta,5,Manual,1.8,SUV
718,Volkswagen,Polo,2023,Nafta,5,Manual,1.6,Hatchback
719,Volkswagen,Amarok,2022,Diésel,4,Manual,2.0,Pick-Up
720,Volkswagen,Amarok,2022,Diésel,4,Automática,2.0,Pick-Up
721,Volkswagen,Amarok,2022,Diésel,4,Automática,2.0,Pick-Up
722,Volkswagen,Amarok,2022,Diésel,4,Manual,2.0,Pick-Up
723,Volkswagen,Taos,2022,Nafta,5,Automática,1.4,SUV
724,Volkswagen,Taos,2022,Nafta,5,Automática,1.4,SUV
725,Volkswagen,Amarok,2022,Diésel,4,Automática,3.0,Pick-Up
726,Volkswagen,Amarok,2022,Diésel,4,Automática,3.0,Pick-Up
727,Volkswagen,Amarok,2022,Diésel,4,Automática,2.0,Pick-Up
728,Volkswagen,Amarok,2022,Diésel,4,Manual,2.0,Pick-Up
729,Renault,Kangoo,2022,Nafta,3,Manual,1.6,Furgón
730,Volkswagen,Amarok,2022,Diésel,4,Manual,2.0,Pick-Up
731,Volkswagen,Amarok,2022,Diésel,4,Manual,2.0,Pick-Up
732,Peugeot,208,2022,Nafta,5,Automática,1.6,Hatchback
733,Peugeot,208,2022,Nafta,5,Manual,1.6,Hatchback
734,Peugeot,208,2022,Nafta,5,Manual,1.6,Hatchback
735,Volkswagen,Nivus,2022,Nafta,5,Automática,1.0,SUV
736,Volkswagen,Polo,2022,Nafta,5,Automática,1.6,Hatchback
737,Peugeot,208,2023,Nafta,5,Manual,1.6,Hatchback
738,Peugeot,208,2023,Nafta,5,Automática,1.6,Hatchback
739,Renault,Sandero Stepway,2022,Nafta,5,Manual,1.6,Hatchback
741,Renault,Sandero,2022,Nafta,5,Manual,1.6,Hatchback
742,Volkswagen,Taos,2022,Nafta,5,Automática,1.4,SUV
743,Jeep,Renegade,2022,Nafta,5,Manual,1.8,SUV
744,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
745,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
746,Volkswagen,Taos,2022,Nafta,5,Automática,1.4,SUV
747,Nissan,Frontier,2023,Diésel,4,Automática,2.3,Pick-Up
748,Volkswagen,Taos,2022,Nafta,5,Automática,1.4,SUV
749,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
750,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
751,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
752,Fiat,Cronos,2023,Nafta,4,Automática,1.3,Sedán
753,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
754,Volkswagen,Amarok,2022,Diésel,4,Automática,3.0,Pick-Up
755,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
756,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
757,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
758,Nissan,Kicks,2022,Nafta,5,Automática,1.6,Hatchback
759,Chevrolet,S10,2022,Diésel,4,Automática,2.8,Pick-Up
760,Fiat,Toro,2022,Nafta,4,Automática,1.8,Pick-Up
761,Volkswagen,Amarok,2022,Diésel,4,Manual,2.0,Pick-Up
762,Citroën,C3,2022,Nafta,5,Manual,1.2,Hatchback
763,Citroën,C3,2022,Nafta,5,Manual,1.2,Hatchback
764,Volkswagen,Amarok,2022,Diésel,4,Automática,3.0,Pick-Up
765,Volkswagen,Amarok,2022,Diésel,4,Manual,2.0,Pick-Up
766,Fiat,Fiorino,2022,Nafta,3,Manual,1.4,Furgón
767,Renault,Sandero,2022,Nafta,5,Manual,1.6,Hatchback
768,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
769,Fiat,Pulse,2022,Nafta,5,Manual,1.3,SUV
770,Citroën,Berlingo,2023,Diésel,3,Manual,1.6,Furgón
771,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
772,Citroën,Jumper,2023,Diésel,3,Manual,2.2,Furgón
773,Citroën,C4 Cactus,2023,Nafta,5,Automática,1.6,SUV
774,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
775,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
776,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
777,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
778,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
779,Fiat,Strada,2022,Nafta,3,Manual,1.4,Pick-Up
780,Citroën,Berlingo,2023,Diésel,3,Manual,1.6,Furgón
781,Fiat,Toro,2022,Nafta,4,Automática,1.8,Pick-Up
782,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
783,Fiat,Fiorino,2022,Nafta,3,Manual,1.4,Furgón
784,Volkswagen,T-Cross,2021,Nafta,5,Automática,1.0,SUV
785,Citroën,C3,2022,Nafta,5,Manual,1.2,Hatchback
786,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
787,Chevrolet,Tracker,2022,Nafta,5,Automática,1.2,SUV
788,Chevrolet,Equinox,2022,Nafta,5,Automática,1.5,SUV
789,Citroën,C3,2023,Nafta,5,Automática,1.6,Hatchback
790,Citroën,C3,2022,Nafta,5,Automática,1.6,Hatchback
791,Citroën,C3,2023,Nafta,5,Automática,1.6,Hatchback
792,Citroën,Berlingo,2023,Nafta,3,Manual,1.6,Furgón
793,Citroën,C4 Cactus,2023,Nafta,5,Manual,1.6,SUV
794,Citroën,C3,2023,Nafta,5,Manual,1.2,Hatchback
795,Citroën,C3,2023,Nafta,5,Automática,1.6,Hatchback
796,Citroën,C3,2023,Nafta,5,Manual,1.2,Hatchback
797,Citroën,C4 Cactus,2023,Nafta,5,Manual,1.6,SUV
798,Citroën,C4 Cactus,2023,Nafta,5,Manual,1.6,SUV
799,Peugeot,208,2023,Nafta,5,Manual,1.2,Hatchback
800,Peugeot,5008,2022,Diésel,5,Automática,2.0,Monovolumen
801,Peugeot,3008,2022,Nafta,5,Automática,1.6,SUV
802,Citroën,Berlingo,2023,Nafta,3,Manual,1.6,Furgón
803,Volkswagen,Amarok,2022,Diésel,4,Automática,3.0,Pick-Up
804,Volkswagen,Vento,2022,Nafta,4,Automática,1.4,Sedán
805,Ford,Ranger,2022,Diésel,4,Automática,3.2,Pick-Up
806,Volkswagen,Amarok,2022,Diésel,4,Automática,3.0,Pick-Up
807,Citroën,Jumper,2023,Diésel,3,Manual,2.2,Furgón
