,company,model,year,fuel,doors,transmisions,motor,bodywork,km
1491,Volkswagen,Up!,2014,Nafta,3,Manual,1.0,Hatchback,110000.0
1492,Renault,Duster,2016,Nafta/GNC,5,Manual,1.6,SUV,105000.0
1493,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán,1000.0
1494,Jeep,Compass,2021,Diésel,5,Automática,2.4,SUV,20000.0
1495,Volkswagen,Amarok,2019,Diésel,4,Automática,3.0,Pick-Up,146000.0
1496,Ford,Focus III,2017,Nafta,5,Manual,1.6,Hatchback,72000.0
1497,Fiat,Palio,2011,Nafta,5,Manual,1.4,Hatchback,125000.0
1498,Audi,A3,2013,Nafta,5,Manual,1.4,Hatchback,113200.0
1499,Honda,HR-V,2018,Nafta,5,Automática,1.8,SUV,70000.0
1500,Volkswagen,Amarok,2019,Diésel,4,Automática,3.0,Pick-Up,145000.0
1501,Nissan,Kicks,2018,Nafta,5,Manual,1.6,Hatchback,71500.0
1502,Citroën,DS3,2012,Nafta,3,Manual,1.6,Hatchback,85000.0
1503,Nissan,Kicks,2020,Nafta,5,Automática,1.6,Hatchback,34000.0
1504,Renault,Sandero,2018,Nafta,5,Manual,1.6,Hatchback,89900.0
1505,Volkswagen,Golf,2013,Nafta,5,Manual,2.0,Hatchback,61000.0
1506,Renault,Sandero Stepway,2013,Nafta,5,Manual,1.6,Hatchback,83000.0
1507,Renault,Kangoo,2022,Nafta,3,Manual,1.6,Furgón,500.0
1508,Fiat,Palio,2011,Nafta,5,Manual,1.6,Rural,148500.0
1509,Ford,Ecosport,2018,Nafta,5,Manual,1.5,SUV,39400.0
1510,Ford,Focus,2018,Nafta,5,Manual,2.0,Hatchback,96000.0
1511,Chevrolet,Onix,2020,Nafta,5,Manual,1.4,Hatchback,54500.0
1512,Renault,Sandero,2017,Nafta,5,Manual,2.0,Hatchback,50000.0
1513,Renault,Logan,2008,Nafta,4,Manual,1.6,Sedán,100000.0
1514,Land Rover,Discovery,2009,Diésel,5,Automática,4.4,SUV,95000.0
1515,Volkswagen,Fox,2016,Nafta,5,Manual,1.6,Hatchback,93000.0
1516,RAM,1500,2019,Nafta,4,Automática,5.7,Pick-Up,55000.0
1517,Peugeot,208,2022,Nafta,5,Manual,1.2,Hatchback,1111.0
1518,Volkswagen,Suran,2016,Nafta,5,Manual,1.6,Monovolumen,123281.0
1519,Chevrolet,Cruze,2017,Nafta,4,Manual,1.8,Sedán,44000.0
1520,Volkswagen,Nivus,2021,Nafta,5,Automática,1.0,SUV,50000.0
1521,Peugeot,408,2012,Diésel,4,Manual,1.6,Sedán,165000.0
1522,Chery,Tiggo,2016,Nafta,5,Manual,1.6,SUV,127000.0
1523,Ford,Ranger,2022,Diésel,4,Automática,3.2,Pick-Up,12000.0
1524,Volkswagen,Golf,2016,Nafta,5,Manual,1.6,Hatchback,94000.0
1525,Chevrolet,Tracker,2016,Nafta,5,Automática,1.8,SUV,68000.0
1526,Ford,Ranger,2014,Diésel,4,Manual,2.2,Pick-Up,149000.0
1527,Nissan,X-Trail,2013,Nafta,5,Automática,2.5,SUV,140000.0
1528,Audi,A1 Sportback,2021,Nafta,5,Automática,1.5,Hatchback,41300.0
1529,Volkswagen,Up!,2016,Nafta,3,Manual,1.0,Hatchback,127000.0
1530,Audi,A3,2016,Nafta,3,Automática,1.8,Hatchback,110000.0
1531,BMW,X1,2012,Nafta,5,Manual,2.0,SUV,146000.0
1532,Renault,Duster Oroch,2017,Nafta,4,Manual,1.6,SUV,147000.0
1533,Volkswagen,Golf,2015,Nafta,5,Automática,1.4,Hatchback,84000.0
1534,BMW,Serie 4,2017,Nafta,2,Automática,2.0,Coupé,112000.0
1535,Peugeot,308,2017,Nafta,5,Manual,1.6,Hatchback,131500.0
1536,Mercedes-Benz,Vito,2019,Diésel,2,Manual,1.6,Furgón,78000.0
1537,Nissan,Murano,2018,Nafta,5,Automática,3.5,SUV,69000.0
1538,Toyota,Hilux,2022,Diésel,4,Manual,2.4,Pick-Up,1000.0
1539,Fiat,Toro,2020,Diésel,4,Automática,2.0,Pick-Up,54000.0
1540,Fiat,Toro,2020,Diésel,4,Automática,2.0,Pick-Up,83000.0
1541,Volkswagen,CC,2012,Nafta,4,Automática,3.6,Sedán,100000.0
1542,Chevrolet,Tracker,2017,Nafta,5,Automática,1.8,SUV,61900.0
1543,Mercedes-Benz,Clase GLK,2010,Nafta,5,Automática,2.5,SUV,160000.0
1544,Jeep,Compass,2019,Nafta,5,Automática,2.4,SUV,95000.0
1545,Nissan,Pathfinder,1999,Nafta/GNC,5,Manual,3.3,SUV,230000.0
1546,Renault,Clio,2014,Nafta,5,Manual,1.2,Hatchback,80000.0
1547,Toyota,Etios,2020,Nafta,5,Manual,1.5,Hatchback,33000.0
1548,Toyota,Hilux,2020,Diésel,4,Automática,2.8,Pick-Up,79000.0
1549,Toyota,Hilux,2022,Diésel,4,Automática,2.8,Pick-Up,1999.0
1550,Ford,Fiesta Kinetic Design,2014,Nafta,5,Manual,1.6,Hatchback,116000.0
1551,Peugeot,2008,2017,Nafta,5,Manual,1.6,SUV,42000.0
1552,Volkswagen,Up!,2017,Nafta,3,Manual,1.0,Hatchback,75000.0
1553,Honda,Civic,2013,Nafta,4,Automática,1.8,Sedán,160000.0
1554,BMW,Serie 1,2009,Nafta,2,Manual,2.5,Coupé,70000.0
1555,BMW,Serie 3,2010,Nafta,4,Automática,2.5,Sedán,100000.0
1556,Fiat,Grand Siena,2013,Nafta,4,Manual,1.4,Sedán,126000.0
1557,Toyota,Hilux,2019,Diésel,4,Manual,2.4,Pick-Up,124000.0
1558,Audi,TT,2011,Nafta,2,Manual,1.8,Coupé,85000.0
1559,Fiat,Palio,2015,Nafta,5,Manual,1.4,Hatchback,139039.0
1560,Volkswagen,Vento,2013,Nafta,4,Automática,2.0,Sedán,100000.0
1561,BMW,X3,2019,Nafta,5,Automática,2.0,SUV,85000.0
1562,Toyota,SW4,2010,Diésel,5,Manual,3.0,SUV,228000.0
1563,Mini,Cooper S,2015,Nafta,5,Manual,2.0,Hatchback,50000.0
1564,Toyota,SW4,2019,Diésel,5,Automática,2.8,SUV,22000.0
1565,Toyota,SW4,2022,Diésel,5,Automática,2.8,SUV,1200.0
1566,Toyota,SW4,2018,Diésel,5,Automática,2.8,SUV,61747.0
1567,Citroën,C3,2008,Nafta,5,Manual,1.4,Hatchback,80000.0
1568,Chevrolet,Trailblazer,2017,Diésel,5,Automática,2.8,SUV,160000.0
1569,Volkswagen,Amarok,2018,Diésel,4,Manual,2.0,Pick-Up,54000.0
1570,Peugeot,308,2017,Nafta,5,Automática,1.6,Hatchback,75000.0
1571,Ford,Fiesta Kinetic Design,2014,Nafta,4,Automática,1.6,Sedán,110000.0
1572,Peugeot,208,2022,Nafta,5,Automática,1.6,Hatchback,5100.0
1573,Chevrolet,Agile,2011,Nafta,5,Manual,1.4,Hatchback,145000.0
